"crypto_fullname","crypto_nrc","gender","programme_as_admitted","school_abbr","school"
"bcbc098a","ed90a809","M","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"3b3a7b77","f500831a","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"ee0b9747","8f6a8372","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"65fcc301","4b73f0d3","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"455af0c7","184a7899","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"28051088","c3418f5a","F","BACHELOR OF PUBLIC RELATIONS AND ADVERTISING","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"d8027525","7f20e3cf","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"3a8c2c91","db45ce95","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"37477eb6","8f73d9e8","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"208c7634","2582783b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f5000d16","37fbc9fa","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"f5000d16","37fbc9fa","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"9bd5d2f5","8c9969f1","M","BACHELOR OF SCIENCE AGRICULTURAL EXTENSION","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"d05ba1e0","08ff77bc","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"8794af3b","10a3c2c7","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"dd897e62","ee2cb525","F","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f9b33434","02b55670","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"ab0c4212","e1463b85","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c1a14f3d","e1c1b73f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"007b7db2","6febb736","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"3ba9652d","b5cccc47","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"492f826e","9ccaeb7e","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d80739d7","4180d84f","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b0172293","02a4e8b9","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"aa7e2e92","44ae497b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9589ce12","8d8374ed","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"86618018","1f74385d","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"96b04cd9","7149ebca","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1f24e3d9","3cc92078","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"fa8fb517","9f467ce6","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0724be7f","9f3fe64f","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"7043fe2e","15f53a50","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c050a3f9","bcb54117","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2fcddec0","85add157","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ad4af7b2","47773953","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"2c991deb","630747d0","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"6ff2cc4c","0be58151","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6063588a","5b66274a","F","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"78d11b4f","02d73596","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"282f008a","939595db","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6c441120","d962c971","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d7801987","6e3b199c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ee3e983c","622cb985","F","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"9a00adba","b455aa62","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"69c2b531","3f26ef04","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cb924769","200c69a0","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"34fd8dc1","7dd9e910","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"c889af53","80fb496f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f9fb3116","d34cc7de","F","BACHELOR OF EDUCATION(EDUCATIONAL ADMINISTRATION AND MANAGEMENT)","Education","SCHOOL OF EDUCATION"
"67f6b371","8295e4ca","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e19d237f","3eec5078","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"e8969ca7","4a77bcfc","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9f0a01e5","493882d6","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"93643f04","cd816bd0","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"93643f04","cd816bd0","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"a736501b","f3a5fb08","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"53cba68e","6ebfdc5d","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"1d456119","913a21ba","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3d1f98ee","364b465d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3c7bb7fa","8eefc89a","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"52e64d9a","e165e0a8","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cddfaca8","2eebc263","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"c9b1b2ab","bdfb5fff","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"2078cf4f","cf5d0ed5","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"7f9e283e","969c8bc3","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"ed9bf60d","481fcfc7","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1139b3c3","693a456d","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"b577b949","e5f4ba27","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0817009f","f69e12cb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5e90a908","75bc59f2","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"5e90a908","75bc59f2","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"5e90a908","75bc59f2","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"46b46af6","183c2a1f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"695f8ead","e4ea4712","M","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"930e21f1","d99887e6","F","BACHELOR OF SCIENCE IN HUMAN BIOLOGY","Human Med.","SCHOOL OF MEDICINE"
"21e8359a","52112af9","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"458e212d","c0eae0c9","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"603cbb32","86091dce","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2c53f823","3f5a6e03","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0b6a19b5","32ec6d28","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"9a7d6b63","a77131e3","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d464b09c","10f9ab74","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9a754eab","5230b8c0","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"5efc767b","995c61e0","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"e63755d1","90565a7b","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"eb6656d4","c55969d3","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"34b3b81f","b36dbd6c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"680a78a2","88565417","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"680a78a2","88565417","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"680a78a2","88565417","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c4a28554","9e6b3b83","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"3b07a2e8","03134fad","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f45f87a7","da506b13","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"cf846957","25c9251e","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f162700f","90892081","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"50330988","aec60757","F","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"ff320c9e","3eb7adfb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"48ed1275","e249a8e8","M","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"73be2457","97dc578f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c0e1b46d","c3e06662","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"2e1678c8","2d7e839d","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"fd0bae75","61b37cdb","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"aa956d59","22e37cf0","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5fac0b1a","9df8cdba","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"f8143eb7","138b7490","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"f8143eb7","138b7490","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"f8143eb7","138b7490","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"388ebfe2","7e6312f6","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"82d6cff8","d8f08bde","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"c62ba6b7","1bde9c60","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"af820c17","0491bb15","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"8a279cff","4d89432a","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"6852911d","c8221411","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"28b0addd","4250befb","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"373c5be9","232f333b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"373c5be9","232f333b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"461568a6","413bb161","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a07fe317","2ca5872d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c24b87d0","8a75c375","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"f2d2b712","dbd78423","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"cce5fb9a","24c44bd3","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9c6f3a61","d8b74fde","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b4c69b6f","ddb88d24","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"0832a899","e4701fcf","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"06c2ce38","cd956f1c","M","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
